camera,run_id,height_mm,frame_index,rho_x_mm,rho_y_mm,rho_z_mm,omega_x_rad,omega_y_rad,omega_z_rad,definition
ihawk2,20260808_145501,20.0,1,-0.0044152906995231595,0.002150791297594602,-0.006304645797135795,1.378309195453447e-05,7.296272687522789e-05,3.659526856661042e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,20.0,2,0.007308514436306481,-0.0017755535732135784,-0.0073602436669854485,3.9617118312934445e-05,-1.5143058239888464e-05,4.881549369489788e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,20.0,3,-0.0028932237367411398,-0.0003752377243550188,0.013664889464207842,-5.3400212171820576e-05,-5.7819669359557775e-05,-8.541076497205441e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,25.0,1,-0.011381632472278214,0.006131566258445708,0.0014375987455718397,-6.509830154869226e-05,-2.302289156828421e-05,-7.35076453273306e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,25.0,2,-0.01530410302054777,-0.005573405175103483,0.017559911542637086,-2.353642611062528e-05,3.521636702427184e-05,4.301310884750299e-06,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,25.0,3,0.02668573549273875,-0.000558161083350844,-0.01899751028822059,8.863472702127186e-05,-1.2193475961515089e-05,6.920633352360423e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,30.0,1,-0.031046469902462338,-0.006218645760635864,0.028966616768801228,0.00014290597149088354,4.72357738976291e-05,8.066506734267004e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,30.0,2,0.0043006607513573795,0.0036710805907457307,0.0001111489825168071,-4.372335237496138e-05,-5.6531569516705535e-05,-3.624880321108192e-06,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,30.0,3,0.026745809151048374,0.002547565169890724,-0.029077765751548232,-9.918261956027919e-05,9.295795550408068e-06,-7.704018731152134e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,35.0,1,0.006149633088567781,-0.006258052333366261,-0.011011183550281644,8.3676051433158e-05,-1.7044866178870226e-06,7.696757048901158e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
