run_id,camera_id,motion_tier,motion_scenario,translation_mm,rotation_deg,pixel_noise_sigma_px,height_gt_mm,method,n_planned,n_success,success_rate,xy_mean_mm,xy_rmse_mm,xy_median_mm,xy_p95_mm,z_rmse_mm,error_3d_rmse_mm
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,10.0,FrozenExtrinsicPnP,250,250,1.0,23.110371588529198,25.19053855021233,22.73145504633234,38.6411470046377,16.992964897701512,30.386248344674755
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,10.0,FrozenHomography,250,250,1.0,31.620923927247585,38.18474787652938,24.769948303795047,78.15405726655234,10.0,39.47245837788818
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,10.0,OracleMotionAwarePnP,250,250,1.0,12.479987224915378,15.533029335422702,10.162331053893473,29.976473682388804,10.209334635892136,18.587778620446528
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,10.0,RelocalizedPnP,250,250,1.0,12.613939317835563,15.513606984006017,10.027480778193851,29.87995633903253,10.152992785662477,18.540638181031273
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,25.0,DynamicHomography,250,250,1.0,39.500482949784114,39.71128614717367,39.39196910921919,46.420833512847615,25.0,46.925326290423456
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,25.0,FrozenExtrinsicPnP,250,250,1.0,23.685125888614422,25.938214018542798,24.05040117032806,41.702918573878314,16.93554819635528,30.977471478201746
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,25.0,FrozenHomography,250,250,1.0,44.73778455355323,54.47326922594354,35.133025808380594,107.07649741525584,25.0,59.93610814994687
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,25.0,OracleMotionAwarePnP,250,250,1.0,13.17809942358741,16.041427262531567,11.986994171203026,30.866973524438688,10.191793325710677,19.005263476550166
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,25.0,RelocalizedPnP,250,250,1.0,13.198279823401435,16.184088752740312,11.68601138676014,32.31029397413661,10.235520589093246,19.14916735752046
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,50.0,DynamicHomography,250,250,1.0,85.31088585320335,85.66368996547591,84.70051788757173,97.83617632925568,50.0,99.18804251774091
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,50.0,FrozenExtrinsicPnP,250,250,1.0,22.804737840334937,25.003144418046457,22.15677043549769,41.43316197016349,16.564045039614417,29.99207926876799
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,50.0,FrozenHomography,250,250,1.0,87.51734426950503,95.37606618745974,77.2184105852144,161.73947108818032,50.0,107.68748303027007
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,50.0,OracleMotionAwarePnP,250,250,1.0,12.519413083862245,15.58117286598663,10.52025888244226,31.779215276304953,9.166707164489294,18.077651067526926
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,50.0,RelocalizedPnP,250,250,1.0,12.540797619461635,15.700166960536388,10.832854316849943,32.77964683779115,9.235188057102038,18.214937305375457
20260808_141232,ihawk1,3,S3_large,30.0,5.0,0.1,0.0,DynamicHomography,250,250,1.0,0.1647585612225505,0.19006044086871182,0.14370778123846462,0.3443101136497651,0.0,0.19006044086871182
20260808_141232,ihawk1,3,S3_large,30.0,5.0,0.1,0.0,FrozenExtrinsicPnP,250,250,1.0,43.60704478535703,46.66048948526851,46.01200617103057,71.41073936546287,33.692383218178804,57.55326199204933
20260808_141232,ihawk1,3,S3_large,30.0,5.0,0.1,0.0,FrozenHomography,250,250,1.0,70.78556992609307,78.18162703318262,66.09690066640134,125.54158925688608,0.0,78.18162703318262
20260808_141232,ihawk1,3,S3_large,30.0,5.0,0.1,0.0,OracleMotionAwarePnP,250,250,1.0,1.18769207898663,1.5545624956437007,0.8814079172298126,3.24536248838681,1.0492115490977656,1.8755024467118413
20260808_141232,ihawk1,3,S3_large,30.0,5.0,0.1,0.0,RelocalizedPnP,250,250,1.0,1.2141316803633058,1.5705708137219938,0.9455035626523463,3.2251208901243005,1.066415378067755,1.8984031288150467
20260808_141232,ihawk1,3,S3_large,30.0,5.0,0.1,10.0,DynamicHomography,250,250,1.0,14.828466186399808,14.908250050531565,14.736198638540543,17.473200911531602,10.0,17.95148794861235
20260808_141232,ihawk1,3,S3_large,30.0,5.0,0.1,10.0,FrozenExtrinsicPnP,250,250,1.0,43.270853593800666,46.26922963673426,46.193763909675525,70.97135693758439,33.64957133708676,57.211321102964746
